epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.1061,1.42259,2.6472,1.18856,0.6425,0.52891,0.42555,0.23544,1.29447,1.16511,1.04869,0.000407407,0.000407407,0.000407407
2,134.749,1.27128,1.04648,1.12401,0.54042,0.34203,0.3953,0.22374,1.31258,1.22928,1.09214,0.000813876,0.000813876,0.000813876
3,191.618,1.27683,0.92362,1.12661,0.83334,0.23968,0.3039,0.15815,1.60565,1.68418,1.22848,0.00121003,0.00121003,0.00121003
4,245.928,1.2985,0.89254,1.13588,0.83762,0.30832,0.38546,0.18778,1.50292,1.33674,1.21328,0.00120359,0.00120359,0.00120359
5,299.733,1.27007,0.8861,1.11928,0.65077,0.30273,0.33409,0.18439,1.64089,1.61877,1.30671,0.00118812,0.00118812,0.00118812
6,356.899,1.27009,0.87327,1.12369,0.52383,0.54712,0.47776,0.24057,1.44728,0.82372,1.11638,0.00117266,0.00117266,0.00117266
7,409.903,1.18598,0.82472,1.08627,0.85672,0.28528,0.34229,0.17207,1.61635,1.72621,1.24479,0.00115719,0.00115719,0.00115719
8,465.797,1.17347,0.77247,1.083,0.47377,0.54865,0.54614,0.33976,1.09816,0.71537,0.99256,0.00114172,0.00114172,0.00114172
9,521.699,1.14706,0.76011,1.06317,0.61673,0.52259,0.54855,0.30678,1.21218,0.74955,1.0368,0.00112625,0.00112625,0.00112625
10,579.645,1.12064,0.73556,1.05487,0.4552,0.54275,0.49208,0.29859,1.06667,0.70967,0.96943,0.00111078,0.00111078,0.00111078
11,635.281,1.11645,0.73528,1.05282,0.71623,0.36467,0.46829,0.25963,1.29171,1.09193,1.09249,0.00109531,0.00109531,0.00109531
12,689.336,1.09841,0.71344,1.04889,0.59487,0.54945,0.56325,0.32448,1.14833,0.69005,0.9972,0.00107984,0.00107984,0.00107984
13,742.743,1.08187,0.72416,1.04162,0.74591,0.5148,0.57892,0.33147,1.24566,0.74309,1.08705,0.00106437,0.00106437,0.00106437
14,793.67,1.09232,0.71071,1.03853,0.49551,0.63272,0.58032,0.30023,1.52382,0.7858,1.17744,0.00104891,0.00104891,0.00104891
15,844.947,1.0585,0.6796,1.02269,0.63586,0.64277,0.58866,0.34208,1.14702,0.6359,0.99333,0.00103344,0.00103344,0.00103344
16,896.821,1.03975,0.68111,1.01934,0.59409,0.61943,0.64971,0.38779,1.07564,0.62625,0.95996,0.00101797,0.00101797,0.00101797
17,949.991,1.09013,0.69604,1.03106,0.62526,0.68899,0.6657,0.38553,1.21733,0.63924,1.01226,0.0010025,0.0010025,0.0010025
18,1002.59,1.02398,0.65518,1.02061,0.61335,0.68008,0.68127,0.38444,1.25645,0.61017,1.00542,0.000987031,0.000987031,0.000987031
19,1056.86,1.03675,0.66019,1.01913,0.60777,0.71055,0.68403,0.39098,1.29203,0.64537,1.03189,0.000971562,0.000971562,0.000971562
20,1111.25,1.02659,0.65672,1.02445,0.7923,0.65063,0.69698,0.3979,1.23031,0.669,1.02292,0.000956094,0.000956094,0.000956094
21,1162.2,0.99999,0.632,1.01467,0.61741,0.68249,0.64437,0.41197,0.9519,0.5714,0.9464,0.000940625,0.000940625,0.000940625
22,1215.29,0.99097,0.62023,1.00974,0.66625,0.75377,0.71479,0.40882,1.13197,0.6104,0.99664,0.000925156,0.000925156,0.000925156
23,1265.94,1.00914,0.6324,1.00692,0.69202,0.67913,0.6696,0.41763,1.05162,0.57621,0.96687,0.000909688,0.000909688,0.000909688
24,1320.19,0.97649,0.59643,0.99951,0.79317,0.63862,0.69209,0.43452,1.09293,0.59739,0.98107,0.000894219,0.000894219,0.000894219
25,1370.43,0.97323,0.60419,0.99371,0.74057,0.69217,0.72809,0.44623,1.10091,0.59109,0.97432,0.00087875,0.00087875,0.00087875
26,1420.61,0.93935,0.57984,0.98018,0.78193,0.64368,0.72079,0.42609,1.07067,0.58718,0.96966,0.000863281,0.000863281,0.000863281
27,1473.17,0.97541,0.59765,0.99292,0.71571,0.71259,0.72041,0.42777,1.07539,0.57314,0.98463,0.000847813,0.000847813,0.000847813
28,1522.29,0.92266,0.55734,0.97602,0.64411,0.71174,0.6821,0.43004,0.9129,0.54813,0.93272,0.000832344,0.000832344,0.000832344
29,1573.57,0.92281,0.57776,0.9832,0.70009,0.76965,0.72123,0.41873,1.14634,0.61867,1.01591,0.000816875,0.000816875,0.000816875
